time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
19.453330102,-0.024517749,-0.072989576,-0.146338955,0.099464968,0.003957774,-0.302903980,0.019872593,0.129810944,-0.073240273,-0.161676943,-0.012022594,0.185407475,-247.366165161,-272.273529053,632.052185059,-457.847442627,1780.417114258,11950.980468750,-0.010348018,2.248537064,1.257183671,-0.612560987,-0.001184983,0.003491615
19.473391217,-0.024139348,-0.070664681,-0.147644296,0.096620522,0.003584258,-0.297529519,0.020351600,0.129378006,-0.072852179,-0.158623174,-0.012729323,0.200356469,-259.231475830,-222.473648071,506.300659180,-299.422637939,1536.268188477,9387.153320312,-0.016681548,2.246829033,1.266595602,-0.604247332,-0.001608202,0.003097742
19.493449845,-0.023556454,-0.066467643,-0.149377093,0.091331817,0.002989425,-0.289428860,0.010837352,0.105317555,-0.031214656,-0.115903281,-0.014325640,0.164225116,-198.713180542,-283.697082520,225.489471436,1705.080078125,470.882598877,3236.472167969,-0.016760338,2.002505302,1.209562063,-0.559392512,-0.006062040,0.001104899
19.513510942,-0.023226509,-0.064513527,-0.150269672,0.090221211,0.002711612,-0.285964310,0.018482612,0.108551420,-0.045436691,-0.082856625,-0.007315444,0.116304316,-134.539596558,-234.898437500,796.274108887,-1813.786499023,1632.553588867,4141.309082031,0.001750556,2.053881407,1.184242845,-0.631673753,-0.001756332,0.000987279
19.533595892,-0.022889564,-0.062462293,-0.151097313,0.087606177,0.002394482,-0.281216502,0.017723825,0.114937440,-0.049063407,-0.140074521,-0.009529886,0.143780738,-368.809570312,-53.548042297,208.825698853,-769.773376465,1808.643676758,11257.404296875,-0.014438175,2.062370539,1.165105700,-0.618168056,-0.002224038,0.002831463
19.553680122,-0.022519452,-0.060374312,-0.151959211,0.084739201,0.002083611,-0.275931031,0.020015029,0.115514882,-0.047182847,-0.157468751,-0.007716100,0.183172196,-367.056732178,-233.716415405,493.563812256,-202.216827393,2134.898193359,13586.378906250,-0.013804171,2.037934303,1.207005978,-0.594672203,-0.001074828,0.003368148
19.573834420,-0.022143424,-0.058318153,-0.152764335,0.081950381,0.001762394,-0.270659626,0.020103153,0.114471391,-0.045116071,-0.155528188,-0.008629221,0.197058812,-268.236633301,-136.862701416,285.621917725,-79.194892883,1400.239624023,7972.803710938,-0.018255079,2.042570829,1.215335846,-0.587628603,-0.001289726,0.002976112
19.593915419,-0.021564795,-0.054553661,-0.153736487,0.076945283,0.001239978,-0.262712628,0.010614667,0.095694982,-0.015258706,-0.106728703,-0.012341130,0.160910100,-385.976745605,-509.068847656,403.848480225,3057.418945312,1113.581665039,6280.859375000,-0.013303364,1.811554909,1.165453911,-0.551461279,-0.005215974,0.001062836
19.614005081,-0.021218210,-0.052827682,-0.154154316,0.075669490,0.001037100,-0.259314001,0.018610081,0.096567422,-0.021531977,-0.087031782,-0.003261606,0.114395306,-342.883483887,-144.860977173,563.945739746,-1688.335937500,2197.307128906,5382.536132812,-0.005920635,1.862044334,1.124593377,-0.612132311,-0.002173184,0.000909880
19.634158667,-0.020890743,-0.051004771,-0.154544935,0.073119372,0.000758313,-0.254675448,0.017410623,0.101788633,-0.023504239,-0.137934431,-0.005827790,0.141091496,-551.522705078,-25.303894043,116.392387390,-656.800476074,2610.931396484,14838.529296875,-0.014462988,1.866904259,1.119174480,-0.599699616,-0.001653983,0.002725622
19.654309350,-0.020515691,-0.049165562,-0.154924616,0.070353359,0.000511269,-0.249512494,0.019736970,0.101861350,-0.020812906,-0.151746929,-0.003307043,0.179380104,-541.089904785,-169.948684692,288.359985352,136.461730957,2533.299316406,15177.972656250,-0.018422145,1.850722909,1.150714755,-0.578781426,-0.001090536,0.003214864
19.674369323,-0.020143183,-0.047361180,-0.155229345,0.067641258,0.000241911,-0.244372576,0.019721255,0.100490391,-0.017358568,-0.151185006,-0.004133127,0.192576855,-13.505911827,-3.368952751,5.532827377,4.555555344,62.807525635,327.777008057,-0.020251151,1.857977867,1.156832099,-0.572927237,-0.000952744,0.002831273
19.694430685,-0.019573519,-0.043998599,-0.155430973,0.062987581,-0.000210578,-0.236675695,0.010450712,0.086934559,0.001073652,-0.095977724,-0.010014573,0.155672714,-345.475280762,-411.214294434,326.980224609,2470.634765625,1236.979614258,5480.654296875,-0.010317082,1.631279945,1.108816028,-0.546487927,-0.004304023,0.000985712
19.714514336,-0.019220173,-0.042479374,-0.155380279,0.061579600,-0.000340985,-0.233379826,0.018043336,0.085687689,0.002122608,-0.089079231,0.000558580,0.110885181,-471.948760986,16.135545731,51.017417908,-766.627014160,1896.774047852,4472.719726562,-0.013290013,1.675341964,1.052141428,-0.595562041,-0.002782803,0.000807165
19.734600242,-0.018899841,-0.040866710,-0.155335665,0.059140880,-0.000577143,-0.228892207,0.017093141,0.089699037,0.001842451,-0.133304566,-0.001424517,0.137003168,-162.468032837,6.118905544,-15.004251480,-69.394897461,730.069458008,3726.927001953,-0.014978534,1.673674583,1.057066321,-0.585268080,-0.001124709,0.002584115
19.754743738,-0.018530205,-0.039255865,-0.155241519,0.056516670,-0.000767880,-0.223913148,0.018816428,0.089316919,0.005132340,-0.143752486,0.000955502,0.173583105,-749.596801758,-83.365020752,14.312290192,564.102844238,2893.095703125,16139.359375000,-0.022325795,1.660385370,1.076784730,-0.567258656,-0.001177792,0.003009037
19.774884461,-0.018162254,-0.037682600,-0.155056804,0.053922381,-0.000981684,-0.218965545,0.019059671,0.087663189,0.009733749,-0.144457385,0.000819085,0.185735032,-638.203735352,-38.735431671,-46.420719147,508.953369141,2595.919189453,12262.688476562,-0.022422122,1.666021824,1.078458667,-0.562864542,-0.000761748,0.002627519
19.795023710,-0.017603867,-0.034681294,-0.154509574,0.049654301,-0.001371118,-0.211553603,0.010321211,0.079189144,0.017100181,-0.085016586,-0.007272279,0.149528846,-333.047210693,-336.185668945,267.147979736,1995.958618164,1429.717285156,4949.193359375,-0.007854166,1.440278053,1.030403495,-0.546322584,-0.003385810,0.000909590
19.815176820,-0.017253384,-0.033345863,-0.154014230,0.048137750,-0.001437227,-0.208369777,0.016860610,0.076017275,0.024543252,-0.089638680,0.004004036,0.106840909,-643.435302734,147.504577637,-386.109558105,11.846546173,1793.567138672,4077.868164062,-0.018951328,1.475805163,0.958970010,-0.583982468,-0.003453862,0.000696807
